epoch	train_loss	train_binacc	train_acc	train_tp	train_fp	train_tn	train_fn	train_sens	train_spec	train_balacc	val_loss	val_binacc	val_acc	val_tp	val_fp	val_tn	val_fn	val_sens	val_spec	val_balacc
21	0.07453306019306183	0.9411022067070007	0.7157260179519653	10069643.0	23964954.0	381447840.0	537676.0	0.9493108484811289	0.9408875241366951	0.945099186308912	0.0907922312617302	0.9586928486824036	0.7374878525733948	769484.0	1206428.0	29111760.0	81070.0	0.9046856519397946	0.9602077802274991	0.9324467160836468
22	0.0739341750741005	0.9416622519493103	0.716867208480835	10076846.0	23739180.0	381673632.0	530473.0	0.9499899079116976	0.9414444257869187	0.9457171668493081	0.09050235152244568	0.9588381052017212	0.742544949054718	769928.0	1202337.0	29115848.0	80626.0	0.9052076646515095	0.9603427118081111	0.9327751882298103
23	0.07296983152627945	0.9421815276145935	0.7183752655982971	10087836.0	23534274.0	381878208.0	519483.0	0.9510259849826332	0.9419498041009995	0.9464878945418164	0.09408353269100189	0.961272120475769	0.741129994392395	763488.0	1120034.0	29198156.0	87066.0	0.8976361289230314	0.9630573592948656	0.9303467441089485
24	0.07240620255470276	0.9426435232162476	0.7202032804489136	10092053.0	23346276.0	382066144.0	515266.0	0.9514235406703616	0.9424135155997441	0.9469185281350528	0.08884847164154053	0.9585980772972107	0.7413922548294067	771731.0	1211614.0	29106580.0	78823.0	0.9073274595146222	0.9600367356973836	0.933682097606003
25	0.07178385555744171	0.9430916905403137	0.7219581007957458	10096983.0	23164556.0	382247744.0	510336.0	0.9518883140970871	0.9428617335981173	0.9473750238476022	0.08688463270664215	0.9556357860565186	0.7436135411262512	777301.0	1309528.0	29008664.0	73253.0	0.9138761324971725	0.9568071869193255	0.935341659708249
26	0.07160583883523941	0.9431706666946411	0.7228871583938599	10098906.0	23133920.0	382278656.0	508413.0	0.9520696040158687	0.9429373399605641	0.9475034719882164	0.08700913935899734	0.9572460651397705	0.7426565289497375	775881.0	1257919.0	29060272.0	74673.0	0.9122066323831292	0.9585094308562143	0.9353580316196717
27	0.07115298509597778	0.943490743637085	0.7236307263374329	10102265.0	23004048.0	382408480.0	505054.0	0.9523862721579317	0.943257678509629	0.9478219753337804	0.0909997820854187	0.9614613056182861	0.7451224327087402	767405.0	1118055.0	29200130.0	83149.0	0.9022413626883184	0.9631226275583449	0.9326819951233316
28	0.07057551294565201	0.9438328742980957	0.7249153256416321	10111265.0	22870640.0	382541888.0	496054.0	0.9532347429166597	0.9435867457948907	0.9484107443557752	0.09034101665019989	0.958351731300354	0.7396014928817749	770922.0	1218491.0	29099696.0	79632.0	0.9063763147313398	0.9598098989230458	0.9330931068271928
29	0.07042909413576126	0.944068431854248	0.7257704734802246	10110240.0	22771546.0	382641216.0	497079.0	0.9531381115246935	0.9438312057872514	0.9484846586559725	0.09490096569061279	0.9616444706916809	0.7412787079811096	763508.0	1108452.0	29209738.0	87046.0	0.8976596430091446	0.9634393741842768	0.9305495085967107
30	0.06960530579090118	0.9445677995681763	0.7281242609024048	10117905.0	22571508.0	382840896.0	489414.0	0.9538607257875434	0.9443245747360014	0.9490926502617725	0.0934530720114708	0.9623426198959351	0.7439618706703186	763235.0	1086416.0	29231780.0	87319.0	0.8973386757336983	0.9641662056673821	0.9307524407005402
31	0.06942258030176163	0.9448280334472656	0.7287114858627319	10117675.0	22462866.0	382949504.0	489644.0	0.9538390426459316	0.9445925490630688	0.9492157958545002	0.09616802632808685	0.9637489318847656	0.7441067099571228	759298.0	1038646.0	29279548.0	91256.0	0.8927099278822979	0.9657418248593568	0.9292258763708273
32	0.06954009085893631	0.9450560212135315	0.7285271883010864	10114492.0	22364968.0	383047584.0	492827.0	0.9535389668209281	0.944834051413386	0.949186509117157	0.09143521636724472	0.9598150253295898	0.7433610558509827	768854.0	1170807.0	29147386.0	81700.0	0.903944958227226	0.9613826919038347	0.9326638250655304
33	0.0688476637005806	0.9452107548713684	0.7299944758415222	10123920.0	22309956.0	383102592.0	483399.0	0.95442778707796	0.9449697447450491	0.9496987659115046	0.09390945732593536	0.961246907711029	0.7441126108169556	765345.0	1122673.0	29195520.0	85209.0	0.89981941181865	0.9629703195042	0.931394865661425
34	0.06786997616291046	0.9462083578109741	0.7327408194541931	10130586.0	21901592.0	383511040.0	476733.0	0.9550562210865913	0.9459770360584127	0.950516628572502	0.09491841495037079	0.9628812074661255	0.746104896068573	761735.0	1068129.0	29250058.0	88819.0	0.8955751192752018	0.9647693643422676	0.9301722418087347
35	0.06782147288322449	0.9460177421569824	0.7323959469795227	10133654.0	21984108.0	383428448.0	473665.0	0.9553454553407887	0.9457734900544126	0.9505594726976007	0.09621462970972061	0.9625667929649353	0.7448151707649231	761632.0	1077818.0	29240370.0	88922.0	0.8954540217317184	0.9644497883580642	0.9299519050448912
36	0.06749103963375092	0.9464227557182312	0.7330417037010193	10136714.0	21818836.0	383593536.0	470605.0	0.9556339353987563	0.946181129371158	0.9509075323849572	0.09123865514993668	0.9592970013618469	0.7413374185562134	770461.0	1188569.0	29129620.0	80093.0	0.9058343150464285	0.9607968338742132	0.9333155744603209
37	0.06933367252349854	0.9448117613792419	0.7279996275901794	10120680.0	22472772.0	382939936.0	486639.0	0.9541223376048179	0.9445681608974132	0.9493452492511156	0.09373865276575089	0.9609723687171936	0.7393099069595337	765247.0	1131133.0	29187052.0	85307.0	0.8997041927966949	0.9626912692827754	0.9311977310397351
38	0.06721126288175583	0.9464249610900879	0.7332280874252319	10136621.0	21817698.0	383594880.0	470698.0	0.9556251678675828	0.94618396373484	0.9509045658012114	0.09418173879384995	0.9623270630836487	0.7438699007034302	763770.0	1087435.0	29230752.0	86784.0	0.8979676775372287	0.9641325848409076	0.9310501311890682
39	0.06651942431926727	0.9469753503799438	0.7352936267852783	10146411.0	21598224.0	383814624.0	460908.0	0.9565481155040213	0.9467253588371723	0.9516367371705968	0.0910886824131012	0.9570257067680359	0.7426173686981201	772474.0	1261377.0	29056814.0	78080.0	0.9082010078137308	0.9583953739192421	0.9332981908664865
